"","Root","X","Barrier","Kr","Kx","kAQP","perimeter"
"1","root1",0,"b0",2.82930870484872e-05,0.00829311551600078,1e-04,0.120514851057932
"2","root1",0,"b1",3.91816924342422e-05,0.00829311551600078,1e-04,0.120514851057932
"3","root1",0,"b2",2.59724658997978e-05,0.00829311551600078,1e-04,0.120514851057932
"4","root1",0,"b3",2.59724658997978e-05,0.00829311551600078,1e-04,0.120514851057932
"5","root1",0,"b4",2.38593538580348e-05,0.00829311551600078,1e-04,0.120514851057932
"6","root1",0,"b5",3.4550354348356e-05,0.00829311551600078,1e-04,0.120514851057932
"7","root1",0,"b6",3.14578631821066e-05,0.00829311551600078,1e-04,0.120514851057932
"8","root1",0,"b7",7.44619681154073e-05,0.00829311551600078,1e-04,0.120514851057932
"9","root1",0,"b8",7.44619681154073e-05,0.00829311551600078,1e-04,0.120514851057932
"10","root1",0,"b0",4.72090102432632e-05,0.00829311551600078,0.00043,0.120514851057932
"11","root1",0,"b1",6.34490193973654e-05,0.00829311551600078,0.00043,0.120514851057932
"12","root1",0,"b2",3.12155918563028e-05,0.00829311551600078,0.00043,0.120514851057932
"13","root1",0,"b3",3.12155918563028e-05,0.00829311551600078,0.00043,0.120514851057932
"14","root1",0,"b4",3.00345070286262e-05,0.00829311551600078,0.00043,0.120514851057932
"15","root1",0,"b5",5.8751914269074e-05,0.00829311551600078,0.00043,0.120514851057932
"16","root1",0,"b6",4.93366368857258e-05,0.00829311551600078,0.00043,0.120514851057932
"17","root1",0,"b7",9.8005669147363e-05,0.00829311551600078,0.00043,0.120514851057932
"18","root1",0,"b8",9.8005669147363e-05,0.00829311551600078,0.00043,0.120514851057932
"19","root1",1,"b0",2.59582333239648e-05,0.0138800256165827,1e-04,0.122298408705529
"20","root1",1,"b1",4.65146004505394e-05,0.0138800256165827,1e-04,0.122298408705529
"21","root1",1,"b2",3.12743936758219e-05,0.0138800256165827,1e-04,0.122298408705529
"22","root1",1,"b3",3.12743936758219e-05,0.0138800256165827,1e-04,0.122298408705529
"23","root1",1,"b4",2.81847839993227e-05,0.0138800256165827,1e-04,0.122298408705529
"24","root1",1,"b5",3.99786786422412e-05,0.0138800256165827,1e-04,0.122298408705529
"25","root1",1,"b6",3.59842534385143e-05,0.0138800256165827,1e-04,0.122298408705529
"26","root1",1,"b7",7.33179944591906e-05,0.0138800256165827,1e-04,0.122298408705529
"27","root1",1,"b8",7.33179944591906e-05,0.0138800256165827,1e-04,0.122298408705529
"28","root1",1,"b0",4.36952418795964e-05,0.0138800256165827,0.00043,0.122298408705529
"29","root1",1,"b1",7.3820272853634e-05,0.0138800256165827,0.00043,0.122298408705529
"30","root1",1,"b2",3.6732568365904e-05,0.0138800256165827,0.00043,0.122298408705529
"31","root1",1,"b3",3.6732568365904e-05,0.0138800256165827,0.00043,0.122298408705529
"32","root1",1,"b4",3.50414582840993e-05,0.0138800256165827,0.00043,0.122298408705529
"33","root1",1,"b5",6.72905417470902e-05,0.0138800256165827,0.00043,0.122298408705529
"34","root1",1,"b6",5.5072459979693e-05,0.0138800256165827,0.00043,0.122298408705529
"35","root1",1,"b7",9.62027026373956e-05,0.0138800256165827,0.00043,0.122298408705529
"36","root1",1,"b8",9.62027026373956e-05,0.0138800256165827,0.00043,0.122298408705529
"37","root1",5,"b0",3.08501099864598e-05,0.0468459349996351,1e-04,0.125282461579542
"38","root1",5,"b1",4.38552031268832e-05,0.0468459349996351,1e-04,0.125282461579542
"39","root1",5,"b2",2.94753092852037e-05,0.0468459349996351,1e-04,0.125282461579542
"40","root1",5,"b3",2.94753092852037e-05,0.0468459349996351,1e-04,0.125282461579542
"41","root1",5,"b4",2.69400031689692e-05,0.0468459349996351,1e-04,0.125282461579542
"42","root1",5,"b5",3.84161881167413e-05,0.0468459349996351,1e-04,0.125282461579542
"43","root1",5,"b6",3.4684235236208e-05,0.0468459349996351,1e-04,0.125282461579542
"44","root1",5,"b7",7.51836193949643e-05,0.0468459349996351,1e-04,0.125282461579542
"45","root1",5,"b8",7.51836193949643e-05,0.0468459349996351,1e-04,0.125282461579542
"46","root1",5,"b0",5.28555765754851e-05,0.0468459349996351,0.00043,0.125282461579542
"47","root1",5,"b1",7.02968689506098e-05,0.0468459349996351,0.00043,0.125282461579542
"48","root1",5,"b2",3.51172700979693e-05,0.0468459349996351,0.00043,0.125282461579542
"49","root1",5,"b3",3.51172700979693e-05,0.0468459349996351,0.00043,0.125282461579542
"50","root1",5,"b4",3.3691990170902e-05,0.0468459349996351,0.00043,0.125282461579542
"51","root1",5,"b5",6.48044503755462e-05,0.0468459349996351,0.00043,0.125282461579542
"52","root1",5,"b6",5.36578255825127e-05,0.0468459349996351,0.00043,0.125282461579542
"53","root1",5,"b7",0.000100434085920536,0.0468459349996351,0.00043,0.125282461579542
"54","root1",5,"b8",0.000100434085920536,0.0468459349996351,0.00043,0.125282461579542
