"Root","X","Barrier","Kr","Kx","kAQP","perimeter"
"root1",0,"b0",3.64336047109044e-05,0.0274085459626643,1e-04,0.0913926059856303
"root1",0,"b1",2.74012983084853e-05,0.0274085459626643,1e-04,0.0913926059856303
"root1",0,"b2",2.14552411132184e-05,0.0274085459626643,1e-04,0.0913926059856303
"root1",0,"b3",2.14552411132184e-05,0.0274085459626643,1e-04,0.0913926059856303
"root1",0,"b4",1.99045911721848e-05,0.0274085459626643,1e-04,0.0913926059856303
"root1",0,"b5",2.4878693071586e-05,0.0274085459626643,1e-04,0.0913926059856303
"root1",0,"b6",2.3183239735284e-05,0.0274085459626643,1e-04,0.0913926059856303
"root1",0,"b7",0.000114822921030703,0.0274085459626643,1e-04,0.0913926059856303
"root1",0,"b8",1.88183578122895e-05,0.0274085459626643,1e-04,0.0913926059856303
"root1",0,"b9",2.370651352812e-05,2.370651352812e-05,1e-04,0.0913926059856303
"root1",0,"b0",4.66385092442115e-05,0.0274085459626643,2e-04,0.0913926059856303
"root1",0,"b1",3.05892688135542e-05,0.0274085459626643,2e-04,0.0913926059856303
"root1",0,"b2",2.28027059593994e-05,0.0274085459626643,2e-04,0.0913926059856303
"root1",0,"b3",2.28027059593994e-05,0.0274085459626643,2e-04,0.0913926059856303
"root1",0,"b4",2.16131124415075e-05,0.0274085459626643,2e-04,0.0913926059856303
"root1",0,"b5",2.84707034088579e-05,0.0274085459626643,2e-04,0.0913926059856303
"root1",0,"b6",2.61741651191238e-05,0.0274085459626643,2e-04,0.0913926059856303
"root1",0,"b7",0.000139175520585968,0.0274085459626643,2e-04,0.0913926059856303
"root1",0,"b8",2.02703426980118e-05,0.0274085459626643,2e-04,0.0913926059856303
"root1",0,"b9",2.68776913081846e-05,2.68776913081846e-05,2e-04,0.0913926059856303
"root1",0,"b0",5.52747066814144e-05,0.0274085459626643,3e-04,0.0913926059856303
"root1",0,"b1",3.26181543188502e-05,0.0274085459626643,3e-04,0.0913926059856303
"root1",0,"b2",2.35174227071111e-05,0.0274085459626643,3e-04,0.0913926059856303
"root1",0,"b3",2.35174227071111e-05,0.0274085459626643,3e-04,0.0913926059856303
"root1",0,"b4",2.25512619412766e-05,0.0274085459626643,3e-04,0.0913926059856303
"root1",0,"b5",3.0781789271265e-05,0.0274085459626643,3e-04,0.0913926059856303
"root1",0,"b6",2.79917213210895e-05,0.0274085459626643,3e-04,0.0913926059856303
"root1",0,"b7",0.000155517141669544,0.0274085459626643,3e-04,0.0913926059856303
